lcl|TRINITY_DN9740_c0_g2_i16:5389-5766	A1L0Y2.1	77.500	202	2.05e-60
lcl|TRINITY_DN9740_c0_g2_i16:c5741-2022	A1L0Y2.1	50.078	1223	0.0
lcl|TRINITY_DN9740_c0_g2_i17:c4292-2106	A1L0Y2.1	43.067	579	0.0
lcl|TRINITY_DN9740_c0_g2_i29:5371-5748	A1L0Y2.1	77.500	202	2.05e-60
lcl|TRINITY_DN9740_c0_g2_i29:c5723-2022	A1L0Y2.1	50.315	1229	0.0
lcl|TRINITY_DN9740_c0_g2_i31:5614-5991	A1L0Y2.1	77.500	202	2.05e-60
lcl|TRINITY_DN9740_c0_g2_i31:c5966-2022	A1L0Y2.1	52.924	1033	0.0
lcl|TRINITY_DN9740_c0_g2_i31:c5966-2022	A1L0Y2.1	41.867	268	7.98e-72
lcl|TRINITY_DN9740_c0_g2_i32:c5043-2023	A1L0Y2.1	48.844	975	0.0
lcl|TRINITY_DN9736_c0_g1_i1:7-465	P30044.4	44.860	103	3.78e-27
lcl|TRINITY_DN9736_c0_g1_i2:7-573	Q9GLW7.1	43.976	154	4.04e-46
lcl|TRINITY_DN9735_c0_g1_i1:c495-142	Q9QZ05.2	36.111	53.9	2.58e-08
lcl|TRINITY_DN9735_c0_g1_i2:c732-1	Q9QZ05.2	38.125	88.2	1.22e-18
lcl|TRINITY_DN9744_c0_g3_i1:58-450	P20825.1	47.059	68.6	3.13e-13
lcl|TRINITY_DN9744_c0_g3_i2:13-162	P20825.1	42.553	51.2	1.56e-08
lcl|TRINITY_DN9744_c0_g3_i2:18-593	P04323.1	38.860	161	6.24e-45
lcl|TRINITY_DN9744_c0_g3_i2:c122-3	P20825.1	42.500	46.2	5.85e-07
lcl|TRINITY_DN9744_c0_g3_i6:84-455	P20825.1	51.351	66.6	1.09e-12
lcl|TRINITY_DN9744_c0_g3_i9:13-162	P20825.1	42.553	51.2	1.56e-08
lcl|TRINITY_DN9744_c0_g3_i9:18-473	P04323.1	36.842	121	1.85e-31
lcl|TRINITY_DN9744_c0_g3_i9:486-1088	P04323.1	37.419	90.9	4.55e-20
lcl|TRINITY_DN9744_c0_g3_i9:c122-3	P20825.1	42.500	46.2	5.85e-07
lcl|TRINITY_DN9779_c0_g1_i1:2660-2860	Q8BIW1.1	52.941	53.1	6.50e-09
lcl|TRINITY_DN9779_c0_g1_i1:c2837-3	Q6AYG3.1	37.534	224	1.85e-63
